0y, 0.0%,0.0,0.9999999989999999,9.99999999e-19,0.0,9.99999999e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  8.96795670139964e+25, 0, 15700000 K
1.6252009881679684e-09y, 1.6252009881679685e-16%, 0.0,0.9999999990000001,1.6000875733907568e-18,1.4925072726324324e-33,9.999999991800869e-10,7.702919362310477e-28,9.65790905677036e-56,1.7405839170130842e-67,7.9859813949758e-51,0.0,0.0,0.0,4.157045959794931e-107,0.0,4.3979200372435057e-119,3.0525694682644316e-134,0.0,6.646403069300172e-149,1.2936850772664959e-166,0.0,0.0,4.7409791612568325e-183,5.281205998299741e-203,0.0,0.0,4.8920459310865665e-223,4.033557326676934e-245,0.0,8.619436927032018e-268,3.101907902665068e-291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  8.96795670139964e+25, 0, 15700000 K
4.312142052304515e-09y, 4.3121420523045146e-16%, 0.0,0.9999999990000001,2.478214861110216e-18,7.57859717629244e-33,9.999999996485126e-10,2.0438138274727582e-27,9.932960961342924e-55,5.738564886083973e-66,5.777641700927343e-50,0.0,0.0,0.0,2.2138267374144964e-105,0.0,6.730968556614611e-117,1.396955791749835e-131,0.0,9.489221393508474e-146,6.031517089780595e-163,0.0,0.0,7.587437849455443e-179,3.0666641900275003e-198,0.0,0.0,1.0963353394332733e-217,1.6757027940270734e-240,0.0,1.2741010344443015e-262,1.7230596059016693e-285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  8.96795670139964e+25, 0, 15700000 K
1.1441396611636316e-08y, 1.1441396611636315e-15%, 0.0,0.9999999990000001,4.254244741666938e-18,5.279191909431754e-32,1.0000000017207525e-09,5.422846546732149e-27,1.1452845879867426e-53,2.5934365009921354e-64,4.08300522474227e-49,0.0,0.0,0.0,1.106346269426401e-103,0.0,8.988125603389378e-115,5.001392349768722e-129,0.0,9.147993704093076e-143,1.57396078903936e-159,0.0,0.0,5.393087815441525e-175,5.979979916968212e-194,0.0,0.0,5.9125578771062386e-213,3.15137479485402e-236,0.0,6.553517086184779e-258,2.4391204366751887e-280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  8.96795670139964e+25, 0, 15700000 K
3.0357431373301787e-08y, 3.0357431373301785e-15%, 0.0,0.9999999990000001,6.586236602703336e-18,3.7618366744931036e-31,1.0000000107831578e-09,1.4388426398545642e-26,1.2760578548188422e-52,1.3313191764242935e-62,2.875986292640616e-48,0.0,0.0,0.0,5.489476945598077e-102,0.0,1.1843407756481378e-112,1.7506952558578405e-126,0.0,8.510042385175442e-140,3.8931045923548755e-156,0.0,0.0,3.5488584887973137e-171,1.0476173003931012e-189,0.0,0.0,2.7598705909173577e-208,5.500610943541938e-232,0.0,3.0443762556289724e-253,3.017418111760653e-275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  8.96795670139964e+25, 0, 15700000 K
8.054730299686084e-08y, 8.054730299686084e-15%, 0.0,0.9999999989999999,7.666737733946396e-18,1.8481610429893128e-30,1.0000000424751744e-09,3.817677978080052e-26,1.0758373691340482e-51,5.218705144114956e-61,2.0248466934416115e-47,0.0,0.0,0.0,2.721098388013418e-100,0.0,1.5578624144149076e-110,6.11111838150851e-124,0.0,7.883535386213529e-137,9.571703461138968e-153,0.0,0.0,2.3158701424026494e-167,1.8146522247800764e-185,0.0,0.0,1.2690605421973617e-203,9.52372759189542e-228,0.0,1.3990829392220203e-248,3.6809284536419863e-270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  8.96795670139964e+25, 0, 15700000 K
2.1371597419714315e-07y, 2.1371597419714316e-14%, 0.0,0.9999999989999999,7.715832076490374e-18,6.148100330556756e-30,1.000000130782667e-09,1.0129437062592182e-25,6.306865857728965e-51,1.3562456623608176e-59,1.42550549250202e-46,0.0,0.0,0.0,1.3486397250544026e-98,0.0,2.048682679746824e-108,2.132370530755382e-121,0.0,7.298981610686247e-134,2.351435572840103e-149,0.0,0.0,1.5096089242962072e-163,3.1387330946955195e-181,0.0,0.0,5.82450375631498e-199,1.6471801173962365e-223,0.0,6.420755530366656e-244,4.482416155197216e-265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  8.96795670139964e+25, 0, 15700000 K
5.670521038899841e-07y, 5.670521038899841e-14%, 0.0,0.9999999989999996,7.715834392070625e-18,1.7576094577125413e-29,1.0000003652837742e-09,2.687641821989252e-25,2.6834839522824636e-50,2.821831094501751e-58,1.0035561101254321e-45,0.0,0.0,0.0,6.683985492535243e-97,0.0,2.694029697256512e-106,7.440096080919993e-119,0.0,6.757196605960134e-131,5.7759859746379575e-146,0.0,0.0,9.838903699668343e-160,5.427831982932223e-177,0.0,0.0,2.6725222363935584e-194,2.8484532072525334e-219,0.0,2.9460734010032045e-239,5.457069508579466e-260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  8.96795670139964e+25, 0, 15700000 K
1.504558045948611e-06y, 1.504558045948611e-13%, 0.0,0.999999998999999,7.715834392202571e-18,4.789796530016444e-29,1.0000009874850332e-09,7.1311181945961825e-25,8.641408955725834e-50,5.363363775878799e-57,7.065030817401082e-45,0.0,0.0,0.0,3.312563909321865e-95,0.0,3.542584030358751e-104,2.595879712309454e-116,0.0,6.255475909498487e-128,1.4187550931209944e-142,0.0,0.0,6.412322424207509e-156,9.386037525701668e-173,0.0,0.0,1.2262088097349764e-189,4.925653250234572e-215,0.0,1.351716047262618e-234,6.64337072923615e-255,0.0,0.0,7.3e-322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  8.96795670139964e+25, 0, 15700000 K
3.3547355353820903e-06y, 3.3547355353820904e-13%, 0.0,0.9999999989999977,8.263059012741974e-18,1.077023964959755e-28,1.0000022145861608e-09,1.5900379723567568e-24,2.025474301224504e-49,5.763158481405885e-56,3.5153290394908646e-44,0.0,0.0,0.0,8.224957596989595e-94,0.0,1.9687903383737265e-102,3.231091336462897e-114,0.0,1.745510615069463e-125,8.884050174132825e-140,0.0,0.0,9.020316436062891e-153,2.969406019963479e-169,0.0,0.0,8.734284191346384e-186,1.5528139749241886e-211,0.0,9.612318914971172e-231,1.0663347447266595e-250,0.0,0.0,2.6520723e-317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  8.96795670139964e+25, 0, 15700000 K
